Time,Etalon,Fcn1 (0.0054 -> 0.0081),Fcn1 (0.0054 -> 0.0102),Fcn17 (0.027 -> 0.0405),Fcn17 (0.027 -> 0.054),Fcn7 (0.025 -> 0.0375),Fcn7 (0.025 -> 0.05),Fcn9 (0.45 -> 0.625),Fcn9 (0.45 -> 0.90),Fcn11 (0.015 -> 0.0225),Fcn11 (0.015 -> 0.030),Fcn14 (0.306 -> 0.459),Fcn14 (0.306 -> 0.612)
0.652,52.7714624,52.94738496,53.06974765,52.77143207,52.77077538,56.05429462,59.54096574,58.55774654,51.3272275,51.30155152,49.75175446,35.38318119,31.54225286
0.654,52.65301618,52.82932247,52.9519713,52.65298732,52.65235414,55.92129132,59.3925475,58.55511527,51.45192847,51.19268124,49.65298052,35.21994209,31.3123805
0.656,52.53434231,52.71102305,52.83395135,52.53431483,52.53370434,55.78812487,59.24403265,58.55129075,51.57479802,51.08352091,49.55385077,35.05745441,31.08382115
0.658,52.41544669,52.59249269,52.71569385,52.41542053,52.41483191,55.6548009,59.09542657,58.54628463,51.69585034,50.97407686,49.45437195,34.8957147,30.85656804
0.66,52.29633518,52.47373734,52.59720482,52.29631029,52.29574276,55.52132498,58.94673463,58.54010845,51.81509952,50.86435536,49.35455075,34.73471951,30.6306144
0.662,52.17701359,52.35476289,52.47849022,52.17698989,52.1764427,55.38770264,58.79796212,58.5327737,51.93255956,50.75436259,49.2543938,34.57446543,30.40595354
0.664,52.05748765,52.23557516,52.35955593,52.05746509,52.05693752,55.25393933,58.64911425,58.52429173,52.04824437,50.6441047,49.15390764,34.41494906,30.18257876
0.666,51.93776305,52.11617994,52.24040779,51.93774158,51.93723292,55.12004045,58.50019622,58.51467384,52.16216775,50.53358777,49.05309879,34.256167,29.96048342
0.668,51.81784541,51.99658292,52.12105158,51.81782497,51.81733456,54.98601137,58.35121314,58.50393125,52.27434342,50.42281782,48.95197368,34.09811588,29.73966091
0.67,51.69774031,51.87678979,52.00149302,51.69772086,51.69724803,54.85185737,58.20217007,58.49207506,52.38478499,50.31180082,48.85053868,33.94079234,29.52010463
0.672,51.57745327,51.75680612,51.88173777,51.57743475,51.57697889,54.7175837,58.05307202,58.47911632,52.49350598,50.20054267,48.74880011,33.78419305,29.30180804
0.674,51.45698974,51.63663749,51.76179144,51.45697212,51.45653261,54.58319554,57.90392394,58.46506598,52.60051983,50.08904921,48.64676422,33.62831467,29.08476461
0.676,51.33635514,51.51628936,51.64165958,51.33633837,51.33591463,54.44869802,57.75473073,58.4499349,52.70583988,49.97732624,48.5444372,33.47315389,28.86896787
0.678,51.21555482,51.39576719,51.52134769,51.21553885,51.21513032,54.31409624,57.60549723,58.43373387,52.80947937,49.8653795,48.4418252,33.31870741,28.65441135
0.68,51.09459408,51.27507635,51.4008612,51.09457888,51.09418501,54.17939521,57.45622824,58.41647361,52.91145146,49.75321465,48.33893429,33.16497196,28.44108863
0.682,50.97347816,51.15422217,51.28020552,50.97346369,50.97308396,54.04459991,57.30692849,58.39816471,53.01176922,49.64083733,48.23577048,33.01194426,28.22899332
0.684,50.85221225,51.03320993,51.15938596,50.85219848,50.85183239,53.90971528,57.15760267,58.37881774,53.11044561,49.5282531,48.13233973,32.85962107,28.01811905
0.686,50.73080151,50.91204485,51.03840782,50.7307884,50.73043546,53.77474617,57.00825541,58.35844315,53.20749353,49.41546746,48.02864796,32.70799915,27.8084595
0.688,50.60925101,50.79073211,50.91727631,50.60923854,50.60889827,53.63969742,56.8588913,58.33705131,53.30292576,49.30248589,47.924701,32.55707527,27.60000837
0.69,50.4875658,50.6692768,50.79599661,50.48755393,50.48722589,53.50457379,56.70951486,58.31465254,53.39675503,49.18931378,47.82050465,32.40684623,27.39275939
